InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,RFM
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,40513.35694,1.69,13047,United Kingdom,11
536367,22745,POPPY'S PLAYHOUSE BEDROOM ,6,40513.35694,2.1,13047,United Kingdom,11
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,40513.35694,2.1,13047,United Kingdom,11
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,40513.35694,3.75,13047,United Kingdom,11
536367,22310,IVORY KNITTED MUG COSY ,6,40513.35694,1.65,13047,United Kingdom,11
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,40513.35694,4.25,13047,United Kingdom,11
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,40513.35694,4.95,13047,United Kingdom,11
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,40513.35694,9.95,13047,United Kingdom,11
536367,21754,HOME BUILDING BLOCK WORD,3,40513.35694,5.95,13047,United Kingdom,11
536367,21755,LOVE BUILDING BLOCK WORD,3,40513.35694,5.95,13047,United Kingdom,11
536367,21777,RECIPE BOX WITH METAL HEART,4,40513.35694,7.95,13047,United Kingdom,11
536367,48187,DOORMAT NEW ENGLAND,4,40513.35694,7.95,13047,United Kingdom,11
536368,22960,JAM MAKING SET WITH JARS,6,40513.35694,4.25,13047,United Kingdom,11
536368,22913,RED COAT RACK PARIS FASHION,3,40513.35694,4.95,13047,United Kingdom,11
536368,22912,YELLOW COAT RACK PARIS FASHION,3,40513.35694,4.95,13047,United Kingdom,11
536368,22914,BLUE COAT RACK PARIS FASHION,3,40513.35694,4.95,13047,United Kingdom,11
536369,21756,BATH BUILDING BLOCK WORD,3,40513.35764,5.95,13047,United Kingdom,11
536370,22728,ALARM CLOCK BAKELIKE PINK,24,40513.36458,3.75,12583,France,11
536370,22727,ALARM CLOCK BAKELIKE RED ,24,40513.36458,3.75,12583,France,11
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,40513.36458,3.75,12583,France,11
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,40513.36458,0.85,12583,France,11
536370,21883,STARS GIFT TAPE ,24,40513.36458,0.65,12583,France,11
536370,10002,INFLATABLE POLITICAL GLOBE ,48,40513.36458,0.85,12583,France,11
536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,40513.36458,1.25,12583,France,11
536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,40513.36458,2.95,12583,France,11
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,40513.36458,2.95,12583,France,11
536370,22629,SPACEBOY LUNCH BOX ,24,40513.36458,1.95,12583,France,11
536370,22659,LUNCH BOX I LOVE LONDON,24,40513.36458,1.95,12583,France,11
536370,22631,CIRCUS PARADE LUNCH BOX ,24,40513.36458,1.95,12583,France,11
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,40513.36458,0.85,12583,France,11
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,40513.36458,1.65,12583,France,11
536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,40513.36458,2.95,12583,France,11
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,40513.36458,3.75,12583,France,11
536370,22540,MINI JIGSAW CIRCUS PARADE ,24,40513.36458,0.42,12583,France,11
536370,22544,MINI JIGSAW SPACEBOY,24,40513.36458,0.42,12583,France,11
536370,22492,MINI PAINT SET VINTAGE ,36,40513.36458,0.65,12583,France,11
536370,POST,POSTAGE,3,40513.36458,18,12583,France,11
536380,22961,JAM MAKING SET PRINTED,24,40513.40347,1.45,17809,United Kingdom,11
536389,22941,CHRISTMAS LIGHTS 10 REINDEER,6,40513.41875,8.5,12431,Australia,12
536389,21622,VINTAGE UNION JACK CUSHION COVER,8,40513.41875,4.95,12431,Australia,12
536389,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,40513.41875,1.25,12431,Australia,12
536389,35004C,SET OF 3 COLOURED  FLYING DUCKS,6,40513.41875,5.45,12431,Australia,12
536389,35004G,SET OF 3 GOLD FLYING DUCKS,4,40513.41875,6.35,12431,Australia,12
