,CustomerID,Monetory,Frequency,Recency,RecencyCluster,FrequencyCluster,MonetoryCluster,RFMCombined
0,12347.0,2261.75,3,29,4,2,3,423
1,12348.0,310.0,1,65,3,1,1,311
3,12352.0,944.23,3,26,4,2,2,422
4,12356.0,58.349999999999994,1,12,4,1,1,411
6,12358.0,484.85999999999996,1,140,1,1,1,111
8,12360.0,1578.48,2,42,3,1,2,312
9,12362.0,3656.1,9,1,4,4,3,443
10,12363.0,252.90000000000003,1,99,2,1,1,211
11,12364.0,1002.7799999999999,3,30,4,2,2,422
12,12370.0,739.28,1,41,3,1,1,311
13,12371.0,1887.9600000000003,2,34,3,1,2,312
14,12372.0,383.12,1,61,3,1,1,311
15,12374.0,742.93,1,15,4,1,1,411
16,12375.0,457.50000000000006,2,0,4,1,1,411
18,12379.0,850.29,3,71,3,2,2,322
19,12380.0,2720.5600000000004,5,11,4,3,3,433
20,12381.0,1656.95,5,23,4,3,2,432
21,12383.0,99.45,1,174,1,1,1,111
22,12384.0,566.16,3,18,4,2,1,421
23,12388.0,2014.4100000000003,3,5,4,2,3,423
24,12390.0,549.8399999999999,1,69,3,1,1,311
25,12391.0,460.88999999999993,1,11,4,1,1,411
26,12393.0,521.5,1,62,3,1,1,311
27,12394.0,891.4000000000001,1,53,3,1,2,312
28,12395.0,1446.3599999999997,7,5,4,3,2,432
29,12397.0,2409.8999999999996,2,25,4,1,3,413
31,12399.0,339.70000000000005,2,109,2,1,1,211
32,12403.0,409.7,2,39,3,1,1,311
34,12406.0,3280.7500000000005,3,12,4,2,3,423
35,12407.0,1212.16,3,39,3,2,2,322
36,12408.0,2034.3100000000002,5,22,4,3,3,433
38,12412.0,1226.88,3,64,3,2,2,322
39,12413.0,194.2,1,56,3,1,1,311
41,12417.0,1798.34,5,19,4,3,2,432
42,12418.0,668.5799999999997,1,102,2,1,1,211
43,12420.0,600.3900000000001,1,53,3,1,1,311
44,12421.0,648.82,4,5,4,2,1,421
45,12422.0,565.06,2,85,2,1,1,211
46,12423.0,273.70000000000005,3,88,2,2,1,221
47,12424.0,1760.9600000000003,2,152,1,1,2,112
48,12425.0,777.1999999999999,1,68,3,1,1,311
49,12427.0,461.82000000000005,3,1,4,2,1,421
50,12428.0,1640.9700000000003,4,15,4,2,2,422
51,12429.0,2030.92,2,-1,4,1,3,413
52,12430.0,256.4,1,33,3,1,1,311
53,12431.0,3267.7599999999993,10,25,4,4,3,443
54,12432.0,5059.32,5,32,3,3,4,334
56,12434.0,519.8899999999999,1,74,2,1,1,211
58,12436.0,509.01000000000005,1,89,2,1,1,211
59,12437.0,2810.4200000000005,9,-1,4,4,3,443
61,12444.0,5005.459999999999,5,11,4,3,4,434
62,12445.0,133.4,1,12,4,1,1,411
63,12446.0,1002.3099999999998,1,47,3,1,2,312
64,12448.0,449.4500000000001,1,34,3,1,1,311
65,12449.0,4067.29,4,12,4,2,4,424
66,12450.0,197.88,2,146,1,1,1,111
67,12451.0,3625.6999999999994,4,0,4,2,3,423
68,12452.0,428.57000000000005,3,6,4,2,1,421
69,12453.0,707.0899999999999,1,124,2,1,1,211
70,12454.0,4.547473508864641e-13,2,43,3,1,1,311
71,12455.0,767.96,4,63,3,2,1,321
72,12456.0,2213.72,3,34,3,2,3,323
73,12457.0,1075.4299999999998,7,48,3,3,2,332
74,12458.0,505.4800000000001,1,61,3,1,1,311
75,12461.0,826.8800000000001,2,84,2,1,2,212
76,12462.0,427.48,1,8,4,1,1,411
77,12463.0,667.0800000000002,3,36,3,2,1,321
78,12464.0,667.2,4,0,4,2,1,421
79,12465.0,742.19,2,7,4,1,1,411
80,12468.0,503.45,2,133,1,1,1,111
82,12472.0,3452.52,7,20,4,3,3,433
83,12473.0,2848.2299999999996,9,19,4,4,3,443
85,12475.0,723.38,1,43,3,1,1,311
86,12476.0,4292.88,9,5,4,4,4,444
88,12479.0,527.2,1,1,4,1,1,411
89,12480.0,1694.36,2,18,4,1,2,412
90,12481.0,2495.7699999999995,3,12,4,2,3,423
91,12483.0,1389.47,6,7,4,3,2,432
92,12484.0,3393.1,6,22,4,3,3,433
93,12488.0,1298.6599999999999,3,-1,4,2,2,422
94,12490.0,3759.9100000000003,7,7,4,3,3,433
95,12491.0,460.4000000000001,1,28,4,1,1,411
96,12492.0,263.21,2,53,3,1,1,311
97,12493.0,201.24,1,155,1,1,1,111
98,12494.0,454.75999999999993,5,-1,4,3,1,431
99,12497.0,1043.1,1,71,3,1,2,312
100,12498.0,403.7,3,11,4,2,1,421
101,12500.0,2996.0699999999997,9,13,4,4,3,443
102,12502.0,1881.22,2,85,2,1,2,212
103,12504.0,114.0,4,8,4,2,1,421
104,12507.0,811.9,3,124,2,2,2,222
105,12508.0,398.27,2,16,4,1,1,411
106,12510.0,301.52,1,132,1,1,1,111
107,12512.0,138.03000000000006,2,56,3,1,1,311
108,12513.0,586.7900000000001,2,74,2,1,1,211
109,12516.0,1312.06,2,67,3,1,2,312
110,12517.0,2464.8900000000003,6,18,4,3,3,433
111,12518.0,1717.7500000000002,4,18,4,2,2,422
112,12519.0,340.84,1,53,3,1,1,311
113,12520.0,936.7,2,69,3,1,2,312
114,12521.0,599.6800000000001,1,132,1,1,1,111
115,12522.0,192.72,2,29,4,1,1,411
116,12523.0,1264.58,8,9,4,4,2,442
117,12524.0,1652.3400000000001,3,-1,4,2,2,422
118,12526.0,1039.58,2,43,3,1,2,312
119,12527.0,63.790000000000006,1,71,3,1,1,311
120,12528.0,1156.82,5,-1,4,3,2,432
121,12530.0,818.6300000000001,3,49,3,2,2,322
122,12531.0,125.22,1,4,4,1,1,411
123,12532.0,349.83,1,20,4,1,1,411
124,12534.0,1089.18,1,120,2,1,2,212
125,12535.0,716.3500000000001,2,81,2,1,1,211
126,12536.0,4279.710000000005,4,33,3,2,4,324
127,12538.0,363.95,1,19,4,1,1,411
128,12539.0,1050.66,1,12,4,1,2,412
130,12541.0,668.7799999999999,2,19,4,1,1,411
131,12544.0,355.7,2,19,4,1,1,411
132,12545.0,372.24,1,65,3,1,1,311
133,12546.0,1141.5,3,36,3,2,2,322
134,12548.0,95.19999999999999,1,156,1,1,1,111
135,12550.0,964.8299999999994,1,69,3,1,2,312
136,12552.0,437.81999999999994,2,28,4,1,1,411
137,12553.0,1676.91,5,-1,4,3,2,432
138,12556.0,603.7099999999998,2,40,3,1,1,311
140,12560.0,1403.69,3,90,2,2,2,222
141,12562.0,2682.41,5,12,4,3,3,433
