antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'SET/6 COLLAGE PAPER PLATES'}),frozenset({'SET/6 COLLAGE PAPER CUPS'}),0.00933956,0.010673783,0.00933956,1,93.6875,0.009239871,inf
frozenset({'SET/6 COLLAGE PAPER CUPS'}),frozenset({'SET/6 COLLAGE PAPER PLATES'}),0.010673783,0.00933956,0.00933956,0.875,93.6875,0.009239871,7.925283522
frozenset({'PACK OF 6 SKULL PAPER CUPS'}),frozenset({'PACK OF 6 SKULL PAPER PLATES'}),0.010673783,0.010673783,0.00933956,0.875,81.9765625,0.00922563,7.91460974
frozenset({'PACK OF 6 SKULL PAPER PLATES'}),frozenset({'PACK OF 6 SKULL PAPER CUPS'}),0.010673783,0.010673783,0.00933956,0.875,81.9765625,0.00922563,7.91460974
"frozenset({'CHILDS GARDEN TROWEL PINK', 'CHILDS GARDEN FORK PINK'})","frozenset({'CHILDS GARDEN TROWEL BLUE', 'CHILDS GARDEN FORK BLUE'})",0.011340894,0.012675117,0.010673783,0.941176471,74.25386997,0.010530035,16.78452302
"frozenset({'CHILDS GARDEN TROWEL PINK', 'CHILDS GARDEN FORK BLUE'})","frozenset({'CHILDS GARDEN FORK PINK', 'CHILDS GARDEN TROWEL BLUE'})",0.011340894,0.012675117,0.010673783,0.941176471,74.25386997,0.010530035,16.78452302
"frozenset({'CHILDS GARDEN FORK PINK', 'CHILDS GARDEN TROWEL BLUE'})","frozenset({'CHILDS GARDEN TROWEL PINK', 'CHILDS GARDEN FORK BLUE'})",0.012675117,0.011340894,0.010673783,0.842105263,74.25386997,0.010530035,6.261507672
"frozenset({'CHILDS GARDEN TROWEL BLUE', 'CHILDS GARDEN FORK BLUE'})","frozenset({'CHILDS GARDEN TROWEL PINK', 'CHILDS GARDEN FORK PINK'})",0.012675117,0.011340894,0.010673783,0.842105263,74.25386997,0.010530035,6.261507672
frozenset({'GARDENERS KNEELING PAD KEEP CALM'}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA'}),0.011340894,0.012008005,0.010006671,0.882352941,73.48039216,0.00987049,8.397931955
frozenset({'GARDENERS KNEELING PAD CUP OF TEA'}),frozenset({'GARDENERS KNEELING PAD KEEP CALM'}),0.012008005,0.011340894,0.010006671,0.833333333,73.48039216,0.00987049,5.931954636
"frozenset({'CHILDS GARDEN TROWEL PINK', 'CHILDS GARDEN FORK PINK', 'CHILDS GARDEN TROWEL BLUE'})",frozenset({'CHILDS GARDEN FORK BLUE'}),0.010673783,0.01400934,0.010673783,1,71.38095238,0.01052425,inf
frozenset({'CHILDS GARDEN FORK BLUE'}),"frozenset({'CHILDS GARDEN TROWEL PINK', 'CHILDS GARDEN FORK PINK', 'CHILDS GARDEN TROWEL BLUE'})",0.01400934,0.010673783,0.010673783,0.761904762,71.38095238,0.01052425,4.155170113
frozenset({'MONSTERS STENCIL CRAFT'}),frozenset({'HAPPY STENCIL CRAFT'}),0.011340894,0.012675117,0.010006671,0.882352941,69.6130031,0.009862924,8.392261508
frozenset({'HAPPY STENCIL CRAFT'}),frozenset({'MONSTERS STENCIL CRAFT'}),0.012675117,0.011340894,0.010006671,0.789473684,69.6130031,0.009862924,4.696130754
"frozenset({'CHILDS GARDEN FORK PINK', 'CHILDS GARDEN TROWEL BLUE'})",frozenset({'CHILDS GARDEN FORK BLUE'}),0.012675117,0.01400934,0.012008005,0.947368421,67.62406015,0.011830435,18.73382255
frozenset({'CHILDS GARDEN FORK BLUE'}),"frozenset({'CHILDS GARDEN FORK PINK', 'CHILDS GARDEN TROWEL BLUE'})",0.01400934,0.012675117,0.012008005,0.857142857,67.62406015,0.011830435,6.911274183
"frozenset({'CHILDS GARDEN TROWEL PINK', 'CHILDS GARDEN FORK PINK'})",frozenset({'CHILDS GARDEN FORK BLUE'}),0.011340894,0.01400934,0.010673783,0.941176471,67.18207283,0.010514904,16.76184123
frozenset({'CHILDS GARDEN FORK BLUE'}),"frozenset({'CHILDS GARDEN TROWEL PINK', 'CHILDS GARDEN FORK PINK'})",0.01400934,0.011340894,0.010673783,0.761904762,67.18207283,0.010514904,4.152368245
"frozenset({'BLUE SPOT CERAMIC DRAWER KNOB', 'WHITE SPOT RED CERAMIC DRAWER KNOB'})","frozenset({'RED SPOT CERAMIC DRAWER KNOB', 'WHITE SPOT BLUE CERAMIC DRAWER KNOB'})",0.011340894,0.013342228,0.010006671,0.882352941,66.13235294,0.009855358,8.386591061
"frozenset({'RED SPOT CERAMIC DRAWER KNOB', 'WHITE SPOT BLUE CERAMIC DRAWER KNOB'})","frozenset({'BLUE SPOT CERAMIC DRAWER KNOB', 'WHITE SPOT RED CERAMIC DRAWER KNOB'})",0.013342228,0.011340894,0.010006671,0.75,66.13235294,0.009855358,3.954636424
frozenset({'CHILDS GARDEN FORK BLUE'}),frozenset({'CHILDS GARDEN FORK PINK'}),0.01400934,0.014676451,0.013342228,0.952380952,64.89177489,0.013136621,20.69179453
